ComunaSubida,ComunaBajada,suma_ViajeLaboralPromedio,suma_Viajes1Etapa,suma_Viajes2Etapas,suma_Viajes3Etapas,suma_Viajes4Etapas,suma_Viajes5oMasEtapas,suma_ViajesUsanMetro,suma_ViajesUsanMetroTren,suma_ViajesSoloMetro,suma_ViajesSoloBus
LO ESPEJO,NUNOA,709.84305988,31.1815309236,521.5946094754,154.483976874,2.5829324423,0.0,544.4339786458,24.252274752599998,0.0,165.4090827736
LO ESPEJO,PEDRO AGUIRRE CERDA,1081.5081603275,995.6534278016001,80.8569542206,4.9977632761,0.0,0.0,2.9814722541,0.0,0.0,1078.5266825975
LO ESPEJO,PENALOLEN,196.7170399773,0.0,115.8102956726,75.8719064316,5.0348360841,0.0,173.5006200351,0.2875011861,0.0,23.216419665700002
LO ESPEJO,PROVIDENCIA,1798.1209318042,0.0,1592.3002073202,203.20590355550002,2.6147790253,0.0,1672.686537571,111.8773236848,0.0,125.4343532665
LO ESPEJO,PUDAHUEL,192.0303912437,29.0616458959,111.702392783,49.1686985148,2.0976511539000002,0.0,74.908488003,8.6206218594,0.0,117.1219001374
LO ESPEJO,PUENTE ALTO,290.224592222,0.0,198.091443068,89.9723126885,2.1608367265,0.0,247.4495942681,0.3120581806,0.0,42.7749989337
LO ESPEJO,QUILICURA,108.7793106142,22.4620532985,27.9688672736,56.7863563553,1.5620345474,0.0,39.5024996107,2.0468515754,0.0,69.2768117809
LO ESPEJO,QUINTA NORMAL,140.270400042,58.509500027499996,67.1215671017,14.0594042242,0.5799297094,0.0,21.8618112515,2.7265852689,0.0,118.4085905008
LO ESPEJO,RECOLETA,558.7893109704,8.8711937361,499.3738335964,49.1027567088,1.4415199757,0.0,528.117977595,5.8672232033,0.0,30.6713213933
LO ESPEJO,RENCA,122.93144142999999,78.2639601542,36.8336291318,7.8338534234,0.0,0.0,6.3227064904,0.2899648547,0.0,116.6087362445
LO ESPEJO,SAN BERNARDO,319.1388492106,148.336445333,131.4559225731,37.8177195498,1.2200633585,0.3087000847,7.7316209975,19.3924774524,0.0,311.4072291366
LO ESPEJO,SAN JOAQUIN,290.8898319941,63.8398159445,199.57176751170002,27.4782465996,0.0,0.0,68.2761076988,2.0267136097,0.0,222.6137207655
LO ESPEJO,SAN MIGUEL,2078.7047757557,1049.5074976022,980.546252019,48.6510284242,0.0,0.0,608.696547159,1.7848721743,0.0,1470.0082223617
LO ESPEJO,SAN RAMON,218.0814306161,62.797579528199996,139.9337712582,15.350080073200001,0.0,0.0,46.8852924127,0.0,0.0,171.1961364941
LO ESPEJO,SANTIAGO,5419.1619940344,2300.5172189036,2846.2410313868,268.8530600926,2.9674226642,0.5832090378,2433.927657262,144.8259999196,0.0,2985.2342893834
LO ESPEJO,VITACURA,134.592464226,0.0,22.3894067405,106.36478700560001,4.9786174301,0.8596533237999999,107.2197598508,4.1043004696,0.0,27.3727043874
LO PRADO,CERRILLOS,831.0967618431,617.7643259293,185.9572606724,27.3751865318,0.0,0.0,200.5335609904,2.0974191129,101.4294707172,630.5632005801
LO PRADO,CERRO NAVIA,2792.8710803666,2250.9830080381,522.6831770885,18.6722408679,0.5326644778,0.0,267.5226379717,0.0,0.0,2525.3484286722
LO PRADO,CONCHALI,200.5910872354,3.7052354518,167.0360859103,29.0702308124,0.779535681,0.0,174.7120783328,0.0,0.0,25.8790109462
LO PRADO,EL BOSQUE,157.5198850314,0.0,142.4213199271,14.8296183043,0.2689458728,0.0,154.0270173281,4.6123970151,0.0,3.49286893
LO PRADO,ESTACION CENTRAL,11387.6936115183,10592.0152347813,766.0567588344,28.822122810699998,0.7995360791,0.0,7593.1727805724,0.0,6961.8379082632,3794.5208625173
LO PRADO,HUECHURABA,398.850163042,0.0,350.131138373,48.215172632400005,0.5038500427999999,0.0,389.092511251,0.0,0.0,9.7576548457
LO PRADO,INDEPENDENCIA,331.3333746922,0.0,300.8007831312,29.7569498419,0.7756394595,0.0,305.4677881812,0.0,0.0,25.8655832417
LO PRADO,LA CISTERNA,872.0663443259,776.7001297232,84.5061756352,10.610132248000001,0.2499109954,0.0,862.8258783404,0.2898260057,776.7001297232,9.2404687998
LO PRADO,LA FLORIDA,1464.7311507194,1124.1868812704001,317.8301357862,22.4418834145,0.0,0.2722548544,1410.306509714,0.0,1079.674608109,54.4246335901
LO PRADO,LA GRANJA,120.24214414240001,56.057537644199996,58.6550563736,5.5295496586,0.0,0.0,118.6969678193,0.0,56.057537644199996,1.5451765806000002
LO PRADO,LA PINTANA,183.0960033279,0.0,159.8047333353,22.1740156251,1.1172528863,0.0,168.422259814,10.6570384647,0.0,14.6737428607
LO PRADO,LA REINA,1062.1966250706,674.482388256,339.9756256767,46.1447651096,1.5938496292000002,0.0,1021.6201464403999,0.0,643.73995804,40.5764983581
LO PRADO,LAS CONDES,9438.745149168,7230.4636339831,1998.8183599002,208.9624330501,0.5006935745,0.0,9126.184859089999,0.0,7008.060701278,312.5604383902
LO PRADO,LO BARNECHEA,560.2702898301,55.8509280537,379.864327483,121.42013132769999,2.8785742224,0.2563302517,422.1386963843,0.0,0.0,138.1315974211
LO PRADO,LO ESPEJO,90.1852034025,0.0,68.6696755423,21.5155279189,0.0,0.0,66.8942748882,8.9608152054,0.0,23.2909284689
LO PRADO,LO PRADO,11958.5388823629,11326.8394044879,623.8568959759,7.8425860552,0.0,0.0,6430.9112876508,0.0,5924.3492291526,5527.6275722069
LO PRADO,MACUL,1219.1655756354,1028.5544228422,173.1417144054,17.4694420698,0.0,0.0,1210.8787199494,0.0,1025.5597181062,8.2868704642
LO PRADO,MAIPU,9482.5096339928,7992.2697433162,1396.8342922273,91.8083106889,1.5973664522,0.0,4138.325005841,0.2471415102,3116.611921073,5344.1847656767995
LO PRADO,NUNOA,3136.863301383,2284.7327677723,764.0871134713,87.5387440618,0.5047217607,0.0,3011.6685048094,0.0,2187.5253117084,125.1948261839
LO PRADO,PEDRO AGUIRRE CERDA,341.3342127159,229.3465696287,97.2472777668,14.7403640607,0.0,0.0,164.3589335322,0.5038782506999999,87.8579733062,176.9752812352
LO PRADO,PENALOLEN,688.423162337,391.914565783,266.946588988,29.5620013177,0.0,0.0,657.8699857514,0.0,371.776415341,30.553173587
LO PRADO,PROVIDENCIA,16763.607378383,15398.8186488416,1316.9348531543,47.8537259696,0.0,0.0,16577.132287463,0.0,15257.1288084642,186.4750742297
LO PRADO,PUDAHUEL,9568.9686027927,8586.9885677549,925.7452782743001,55.2219833428,1.012908265,0.0,2597.760179172,0.0,2019.260581955,6971.2084605967
LO PRADO,PUENTE ALTO,973.0604578824,658.6257013962,295.2030161342,18.9886365234,0.243113324,0.0,962.5824067124,0.0,655.4181160621999,10.478051006
LO PRADO,QUILICURA,322.8643562064,0.0,260.24510192,59.9620732069,2.4008493722,0.2563302815,274.903814673,0.0,0.0,47.9605336173
LO PRADO,QUINTA NORMAL,3085.8275916584,2700.2990302164,366.4855022517,18.5481899525,0.4949158728,0.0,545.357237111,0.0,358.842366821,2540.4703832954
LO PRADO,RECOLETA,2573.1217872495,2239.0622888472,318.9616144263,15.0978930608,0.0,0.0,2558.902435795,0.0,2238.2795396472,14.2193741207
LO PRADO,RENCA,411.2633545558,205.6692377034,177.1228535546,27.9729730633,0.498291269,0.0,87.2827096003,0.0,0.0,323.9806454418
LO PRADO,SAN BERNARDO,194.6261624737,0.0,104.7023727268,88.58050761129999,1.3432821482000001,0.0,184.0654676571,78.2219033237,0.0,10.5606935474
LO PRADO,SAN JOAQUIN,609.1159973633,494.1315883593,108.2128146567,6.5073153529,0.2642674446,0.0,569.518888599,0.0,465.026770109,39.5970957599
LO PRADO,SAN MIGUEL,1480.1498764827,1317.2336678751,158.876361906,4.0398266761,0.0,0.0,1406.6131472714,0.0,1260.2590975044,73.5367102298
LO PRADO,SAN RAMON,268.095864081,169.86696532599998,88.2277867505,10.0011108822,0.0,0.0,256.4255132242,0.0,169.86696532599998,11.6703517732
LO PRADO,SANTIAGO,33418.5864906097,30684.2010708618,2657.4476835627,74.9109027992,2.026847899,0.0,30494.865966567,0.0,28030.7780969354,2923.7204169897
LO PRADO,VITACURA,827.520760565,32.5494787396,660.9419712459,133.7581989793,0.2711031735,0.0,720.4007436659,0.0,0.0,107.1199980638
MACUL,CERRILLOS,626.8102045821,378.4529187211,194.51923650129999,51.4497779892,1.3284525573,1.059818089,519.057796476,0.263594836,314.4774803505,107.7524073448
MACUL,CERRO NAVIA,263.8267497111,7.6278814078,202.1866491657,52.918912889800005,1.0933049918,0.0,218.2922353661,0.0,0.0,45.5345182087
MACUL,CONCHALI,204.25105082509998,2.4350864587,156.8635295368,44.6732170577,0.2792154253,0.0,180.7890545746,0.0,0.0,23.4619956004
MACUL,EL BOSQUE,496.1939238815,19.8635430921,396.5885370563,78.6534997824,1.0883471072,0.0,440.4167471231,0.0,0.0,55.7771778694
MACUL,ESTACION CENTRAL,2251.8321899689,1621.2210489945,574.2948787492,54.992870329700004,1.3233858645,0.0,1928.2443593332,0.0,1433.5991899809999,323.5878393889
MACUL,HUECHURABA,371.5068046843,50.9277150021,259.3133128807,59.1785497066,1.8224519193000002,0.2647792697,279.2325562024,0.0,0.0,92.2742546201
MACUL,INDEPENDENCIA,284.0174287599,0.5242203474,214.9239478645,66.74761119429999,1.821649164,0.0,250.9702283984,0.0,0.0,33.0471994886
MACUL,LA CISTERNA,1415.4898066985,1026.3345237999,360.2854593281,28.3228140182,0.2792154551,0.2677924633,1305.553211216,0.2792154551,971.264799602,109.9365796442
MACUL,LA FLORIDA,10082.4726606928,7863.0639736922,2099.7655188799,117.0191099643,2.3448771834,0.2792154253,7995.9565449796,0.0,6128.836386822,2086.5162771892
MACUL,LA GRANJA,622.9387889702,261.7111647842,326.0058454092,34.6796190146,0.2655233145,0.276640147,512.1799563992,0.0,193.6507654811,110.7588398758
MACUL,LA PINTANA,611.6053994903,136.7849826815,390.4051195023,82.5752264561,1.8400690853000001,0.0,408.2660649238,0.0,0.0,203.33933894930001
MACUL,LA REINA,2014.2280772776,1208.700172441,723.7320688646,79.3664179744,2.1597473322000003,0.2696568966,1832.459293885,0.0,1181.656198367,181.7687655752
MACUL,LAS CONDES,7522.964883326,4799.431684626,2407.45179398,308.93670969,6.8751161396,0.2696568668,7258.700696607,0.0,4792.878385826,264.2643081669
MACUL,LO BARNECHEA,409.161576216,0.0,305.8732967316,99.8523037738,3.1712017656,0.2647792697,381.228602657,0.0,0.0,27.9329776464
MACUL,LO ESPEJO,179.9442661305,13.9769620603,126.4453644476,38.7227981396,0.7991428674,0.0,103.0759253505,0.8236424327,0.0,76.868339866
MACUL,LO PRADO,1305.8561577093,1075.202519665,217.4549121307,12.4084220821,0.7902951241,0.0,1278.780549095,0.0,1068.972331759,27.075613140599998
MACUL,MACUL,7718.5795967991,7173.1482361901,532.3370698064,12.8282783619,0.2659882009,0.0,1816.094589477,0.0,1631.022515634,5902.4850145791
MACUL,MAIPU,2169.5026423324,1127.5730397096,887.2015044272999,150.6610894246,3.5209776761000002,0.5460426807,1955.9538035399,0.0,1047.7118492179,213.5488668335
MACUL,NUNOA,8573.3190322412,6941.7031039814,1585.5495911601001,44.502388118,1.5640192031,0.0,3991.498529494,0.0,3194.347675686,4581.8205169112
MACUL,PEDRO AGUIRRE CERDA,1126.7030183431,827.8929821871,262.100777278,36.4441382889,0.2651188076,0.0,781.38902931,0.0,590.9159211622,345.3139774913
MACUL,PENALOLEN,4492.1143385125,3064.2300409655,1365.9756268799,61.1275636262,0.7810595929999999,0.0,2389.1118722495,0.0,1514.7493100745,2103.0024241395
MACUL,PROVIDENCIA,14305.0529070259,12051.6699144809,2155.678710345,95.61121514450001,1.570938766,0.5221461058,11500.0392655568,0.0,9787.587368563,2805.0136494419
MACUL,PUDAHUEL,1143.1036769528,619.5499411687,436.9759453812,84.9670293952,1.6107689738,0.0,1099.1993932709,0.0,613.7743128319,43.9042851645
MACUL,PUENTE ALTO,6919.0125535786,4219.1885273176,2416.120909659,281.0098881731,2.1684274078,0.524784714,6341.1838299480005,0.0,3831.6383013199998,577.8287144356
MACUL,QUILICURA,444.7634772944,0.0,325.7344442344,117.5939467574,1.4350872636,0.0,370.375291349,0.0,0.0,74.38818773610001
MACUL,QUINTA NORMAL,714.9445559792,361.2826150911,307.1811993126,45.1508457673,1.3298936486,0.0,643.440739499,0.0,339.1449047092,71.5038178287
MACUL,RECOLETA,1688.323434751,1178.3974319454,441.1141239064,68.287226589,0.5246678889,0.0,1642.4441854149,0.0,1175.9916492454,45.8792329413
MACUL,RENCA,251.26256831839999,2.9527425766,187.7986772237,59.7327806344,0.7783690989000001,0.0,210.81167089529998,0.2792154253,0.0,40.4509018347
MACUL,SAN BERNARDO,467.794918279,45.412488518,291.8841158531,127.8570699635,2.1261787712999998,0.5150654614000001,362.5376280841,41.0296928572,0.0,105.2572872018
MACUL,SAN JOAQUIN,2192.0616273225,1823.095490588,358.8109853032,9.9004785714,0.2546904981,0.0,1017.362348506,0.0,799.8588830515,1174.6992837877
MACUL,SAN MIGUEL,1478.5238064516,1131.715830086,324.0113944859,22.537366362,0.2592130601,0.0,684.809088251,0.0,515.437605764,793.7147204131
MACUL,SAN RAMON,938.5304617699001,673.5939332693999,237.567288875,27.3692357542,0.0,0.0,749.159482472,0.0,535.0900339535,189.3709875004
MACUL,SANTIAGO,16768.8007205519,12545.7426943501,3994.753425077,223.88566930529998,3.8818934559,0.5370762944,14467.513026381901,0.0,11301.3626976109,2301.2878032999
MACUL,VITACURA,639.1190516617,0.0,537.6371573967,98.6742058084,2.5529951153,0.2546904981,580.9850809407,0.0,0.0,58.1339697539
MAIPU,CERRILLOS,6965.6776936777,5327.4644794577,1532.6393925826999,103.6218813326,1.9520422518,0.0,135.3883287018,0.2963532507,47.220652458800004,6830.2894740177
MAIPU,CERRO NAVIA,1278.952733043,129.145356984,770.1099934578,372.756839758,6.9405465421,0.0,1025.741323704,0.0,0.0,253.2114142694
MAIPU,CONCHALI,422.134770168,0.0,226.23285388099998,192.5499876166,3.3519338368,0.0,333.739578356,0.0,0.0,88.395193719
MAIPU,EL BOSQUE,334.8448520182,37.3790223604,206.603002722,88.64302691820001,2.2197998463,0.0,38.266363888600004,1.3980499208,0.0,296.5784909222
MAIPU,ESTACION CENTRAL,16603.7708162324,12556.0265967404,3827.458683849,213.4425715823,6.5531701742,0.2895848751,3487.5166243378,1.3589878082,1584.4145031418,13116.2538447324
